dealer_id,sale_date,model,payment_type,sale_price_brl
D001,2026-02-07,Lume,Financiamento,97491.02
D001,2026-02-02,Serra,Financiamento,139885.90
D001,2026-02-02,Lume,TED,96188.77
D001,2026-02-07,Serra,Financiamento,143154.12
D001,2026-02-08,Touro,Financiamento,225243.94
D001,2026-02-04,Lume,Consórcio,99056.68
D001,2026-02-02,Brisa,Cartão Crédito,135023.90
D001,2026-02-05,Serra,Consórcio,146899.67
D001,2026-02-08,Serra,Financiamento,148720.17
D001,2026-02-02,Lume,TED,95304.01
D001,2026-02-03,Touro,Financiamento,230829.47
D001,2026-02-03,Brisa,PIX,124899.71
D001,2026-02-07,Lume,Financiamento,100891.80
D001,2026-02-05,Brisa,Consórcio,140218.58
D001,2026-02-07,Brisa,Financiamento,126057.05
D001,2026-02-08,Brisa,TED,123662.66
D001,2026-02-07,Brisa,Financiamento,134129.46
D001,2026-02-05,Lume,PIX,98245.51
D001,2026-02-07,Serra,Financiamento,149309.28
D001,2026-02-03,Serra,PIX,135227.74
D001,2026-02-07,Lume,Financiamento,101078.04
D001,2026-02-06,Eon,Financiamento,218587.79
D001,2026-02-02,Serra,PIX,149461.85
D001,2026-02-08,Serra,PIX,142650.12
D001,2026-02-07,Touro,Cartão Crédito,235889.52
D001,2026-02-02,Touro,Cartão Crédito,235371.05
D001,2026-02-03,Brisa,PIX,139128.60
D001,2026-02-02,Serra,Financiamento,141187.48
D001,2026-02-08,Atlas,Cartão Crédito,222868.36
D001,2026-02-02,Lume,Financiamento,91400.60
D001,2026-02-08,Lume,Financiamento,108518.99
D001,2026-02-06,Touro,Financiamento,226272.34
D001,2026-02-07,Serra,Financiamento,146575.89
D001,2026-02-04,Serra,Financiamento,142308.36
D001,2026-02-04,Lume,Financiamento,102527.02
D001,2026-02-07,Serra,TED,149132.25
D001,2026-02-02,Serra,TED,142740.53
D001,2026-02-07,Eon,Financiamento,207839.94
D001,2026-02-08,Brisa,PIX,136406.67
D001,2026-02-05,Serra,Financiamento,149710.48
D001,2026-02-02,Lume,Financiamento,105265.43
D001,2026-02-03,Lume,Financiamento,99433.16
D001,2026-02-03,Touro,PIX,229200.22
D001,2026-02-02,Lume,Consórcio,102280.14
D001,2026-02-08,Touro,TED,229366.37
D001,2026-02-05,Touro,TED,205057.81
D001,2026-02-08,Atlas,Cartão Crédito,228958.85
D001,2026-02-08,Serra,Financiamento,143009.53
D001,2026-02-02,Serra,Financiamento,157205.34
D001,2026-02-06,Serra,Consórcio,152695.26
D001,2026-02-06,Lume,PIX,95402.99
D001,2026-02-03,Brisa,Consórcio,138854.96
D001,2026-02-02,Serra,Financiamento,150800.47
D001,2026-02-04,Lume,Financiamento,96385.13
D001,2026-02-07,Serra,Financiamento,157280.52
D001,2026-02-02,Serra,Consórcio,167950.13
D001,2026-02-03,Serra,PIX,144504.96
D001,2026-02-03,Brisa,PIX,137093.43
D001,2026-02-06,Eon,Financiamento,209675.45
D001,2026-02-06,Brisa,Financiamento,150584.98
D001,2026-02-02,Touro,Financiamento,226349.42
D001,2026-02-03,Atlas,TED,226289.41
D001,2026-02-05,Brisa,Consórcio,126789.35
D001,2026-02-08,Brisa,PIX,136192.36
D001,2026-02-04,Lume,Financiamento,101829.57
D001,2026-02-02,Lume,Financiamento,105593.24
D001,2026-02-08,Brisa,Financiamento,139590.16
D001,2026-02-04,Touro,Financiamento,242740.71
D001,2026-02-03,Serra,Financiamento,146355.53
D001,2026-02-08,Brisa,Financiamento,128905.67
D001,2026-02-08,Lume,Financiamento,95236.32
D001,2026-02-03,Atlas,Financiamento,236567.34
D001,2026-02-08,Atlas,Cartão Crédito,219761.05
D001,2026-02-05,Touro,Financiamento,224097.63
D001,2026-02-05,Brisa,Financiamento,147545.70
D001,2026-02-07,Lume,Cartão Crédito,101791.83
D001,2026-02-04,Brisa,Financiamento,139314.79
D001,2026-02-04,Eon,PIX,217125.14
D001,2026-02-04,Lume,Financiamento,96420.50
D001,2026-02-05,Serra,Financiamento,146882.48
D001,2026-02-04,Lume,Financiamento,98439.84
D001,2026-02-07,Atlas,Financiamento,234350.85
D001,2026-02-02,Eon,Consórcio,211210.36
D001,2026-02-02,Atlas,Cartão Crédito,225683.09
D001,2026-02-05,Serra,Financiamento,141951.17
D001,2026-02-05,Serra,Consórcio,152782.48
D001,2026-02-06,Touro,Cartão Crédito,221620.25
D001,2026-02-06,Serra,Financiamento,150152.12
D001,2026-02-05,Atlas,Consórcio,232788.69
D001,2026-02-04,Serra,Financiamento,144430.16
D001,2026-02-08,Brisa,Cartão Crédito,144701.08
D001,2026-02-02,Brisa,Financiamento,147787.00
D001,2026-02-05,Touro,Financiamento,242444.71
D001,2026-02-05,Brisa,Financiamento,122869.78
D001,2026-02-08,Touro,Financiamento,224082.39
D001,2026-02-07,Serra,PIX,135424.31
D001,2026-02-05,Lume,Financiamento,99576.62
D001,2026-02-04,Eon,Financiamento,210550.30
D001,2026-02-06,Serra,Consórcio,150551.80
D001,2026-02-08,Serra,TED,137241.50
D001,2026-02-08,Atlas,Financiamento,226312.70
D001,2026-02-07,Brisa,TED,129185.20
D001,2026-02-03,Lume,Financiamento,95522.88
D001,2026-02-05,Brisa,Financiamento,138425.48
D001,2026-02-05,Brisa,Financiamento,151616.34
D001,2026-02-08,Serra,Financiamento,162108.23
D001,2026-02-05,Touro,Consórcio,230763.52
D001,2026-02-06,Atlas,Financiamento,232248.85
D001,2026-02-05,Lume,Cartão Crédito,101061.53
D001,2026-02-03,Touro,Consórcio,254524.46
D001,2026-02-05,Serra,Financiamento,139723.35
D001,2026-02-08,Serra,PIX,143813.46
D001,2026-02-04,Brisa,Financiamento,131716.19
D001,2026-02-05,Brisa,PIX,120148.79
D001,2026-02-04,Brisa,PIX,147376.17
D001,2026-02-02,Eon,TED,195071.63
D001,2026-02-03,Serra,PIX,154818.02
D001,2026-02-04,Atlas,TED,218972.97
D001,2026-02-02,Atlas,TED,216817.09
D001,2026-02-04,Serra,Consórcio,144497.11
D001,2026-02-03,Lume,Financiamento,102640.45
D001,2026-02-08,Brisa,Financiamento,142329.36
D001,2026-02-06,Atlas,Financiamento,230407.49
D001,2026-02-06,Serra,PIX,142057.12
D001,2026-02-05,Eon,Financiamento,214951.82
D001,2026-02-05,Lume,Financiamento,100827.91
D001,2026-02-06,Atlas,Financiamento,235419.88
D001,2026-02-04,Touro,Financiamento,217449.38
D001,2026-02-03,Atlas,Financiamento,234571.13
D001,2026-02-05,Touro,TED,213264.17
D001,2026-02-04,Brisa,Financiamento,145839.18
D001,2026-02-06,Eon,PIX,205790.46
D001,2026-02-08,Brisa,Financiamento,142246.92
D001,2026-02-02,Lume,TED,98932.19
D001,2026-02-06,Brisa,Financiamento,132745.01
D001,2026-02-06,Brisa,Financiamento,135392.13
D001,2026-02-02,Atlas,Financiamento,230134.17
D001,2026-02-07,Lume,PIX,93863.30
D001,2026-02-08,Serra,TED,136888.07
D001,2026-02-03,Brisa,Cartão Crédito,142582.59
D001,2026-02-02,Eon,Financiamento,217218.37
D001,2026-02-08,Atlas,PIX,211875.98
D001,2026-02-05,Serra,PIX,128442.87
D001,2026-02-05,Lume,PIX,94842.44
D001,2026-02-07,Lume,PIX,97306.01
D001,2026-02-03,Lume,Financiamento,99534.57
D001,2026-02-03,Atlas,Financiamento,240676.29
D001,2026-02-06,Eon,Cartão Crédito,209471.77
D001,2026-02-07,Lume,Financiamento,101946.81
D001,2026-02-02,Lume,PIX,91597.32
