dealer_id,sale_date,model,payment_type,sale_price_brl
D002,2026-02-05,Serra,Financiamento,137854.05
D002,2026-02-04,Atlas,Financiamento,229328.86
D002,2026-02-08,Atlas,Financiamento,238692.47
D002,2026-02-02,Serra,Financiamento,157127.03
D002,2026-02-02,Lume,Financiamento,99256.54
D002,2026-02-04,Serra,Financiamento,146244.44
D002,2026-02-04,Serra,Financiamento,141782.88
D002,2026-02-05,Atlas,Financiamento,221355.94
D002,2026-02-07,Touro,Financiamento,246865.24
D002,2026-02-07,Touro,Financiamento,246045.68
D002,2026-02-06,Serra,Consórcio,142125.94
D002,2026-02-07,Atlas,Consórcio,230702.35
D002,2026-02-04,Serra,Financiamento,145062.91
D002,2026-02-04,Serra,Financiamento,157646.53
D002,2026-02-02,Brisa,Cartão Crédito,149077.18
D002,2026-02-06,Touro,PIX,237654.19
D002,2026-02-02,Lume,Cartão Crédito,101288.30
D002,2026-02-08,Lume,TED,91343.46
D002,2026-02-07,Serra,PIX,142857.73
D002,2026-02-07,Lume,Financiamento,101726.77
D002,2026-02-08,Touro,Financiamento,219548.02
D002,2026-02-05,Eon,Cartão Crédito,212660.57
D002,2026-02-05,Eon,Cartão Crédito,210311.17
D002,2026-02-06,Serra,Financiamento,159086.49
D002,2026-02-08,Touro,Financiamento,246042.50
D002,2026-02-02,Brisa,TED,129636.49
D002,2026-02-05,Touro,Financiamento,236409.38
D002,2026-02-08,Serra,Financiamento,147904.24
D002,2026-02-07,Brisa,Financiamento,145965.46
D002,2026-02-04,Atlas,Financiamento,237059.36
D002,2026-02-07,Atlas,Financiamento,219453.93
D002,2026-02-03,Serra,Financiamento,155424.68
D002,2026-02-05,Lume,Consórcio,91474.29
D002,2026-02-08,Serra,PIX,138553.16
D002,2026-02-04,Serra,Financiamento,140137.48
D002,2026-02-07,Touro,Financiamento,228132.74
D002,2026-02-08,Serra,Financiamento,153230.34
D002,2026-02-07,Eon,Consórcio,215507.96
D002,2026-02-02,Atlas,Financiamento,225206.50
D002,2026-02-04,Touro,PIX,237172.70
D002,2026-02-04,Serra,TED,140178.17
D002,2026-02-03,Lume,PIX,99946.81
D002,2026-02-03,Serra,Financiamento,143166.69
D002,2026-02-05,Brisa,PIX,134630.90
D002,2026-02-07,Serra,PIX,149542.16
D002,2026-02-04,Serra,Financiamento,142384.01
D002,2026-02-03,Eon,Financiamento,203761.33
D002,2026-02-04,Serra,Consórcio,142630.73
D002,2026-02-07,Brisa,PIX,137274.81
D002,2026-02-02,Touro,Financiamento,241486.18
D002,2026-02-08,Atlas,Financiamento,226658.82
D002,2026-02-06,Brisa,Financiamento,142100.43
D002,2026-02-03,Serra,Consórcio,153353.36
D002,2026-02-05,Lume,Cartão Crédito,91437.96
D002,2026-02-04,Atlas,TED,213501.30
D002,2026-02-04,Serra,Consórcio,158157.48
D002,2026-02-08,Eon,Consórcio,204150.42
D002,2026-02-08,Lume,Consórcio,92376.75
D002,2026-02-08,Serra,Financiamento,145497.26
D002,2026-02-06,Brisa,Financiamento,124919.58
D002,2026-02-05,Brisa,Financiamento,134494.07
D002,2026-02-07,Eon,PIX,203624.56
D002,2026-02-06,Brisa,Financiamento,139909.91
D002,2026-02-05,Touro,Cartão Crédito,233877.22
D002,2026-02-02,Brisa,Financiamento,127357.94
D002,2026-02-03,Brisa,Cartão Crédito,146148.32
D002,2026-02-06,Brisa,Financiamento,131662.83
D002,2026-02-02,Touro,Financiamento,253394.21
D002,2026-02-07,Brisa,Financiamento,146758.81
D002,2026-02-02,Eon,Financiamento,217578.33
D002,2026-02-02,Brisa,PIX,122149.49
D002,2026-02-05,Lume,PIX,94113.84
