dealer_id,sale_date,model,payment_type,sale_price_brl
D003,2026-02-08,Serra,Consórcio,144005.48
D003,2026-02-04,Eon,Financiamento,210155.47
D003,2026-02-05,Eon,Financiamento,195972.67
D003,2026-02-08,Atlas,Financiamento,227747.45
D003,2026-02-08,Serra,Financiamento,154874.70
D003,2026-02-06,Lume,PIX,90350.50
D003,2026-02-06,Eon,Financiamento,207153.35
D003,2026-02-03,Brisa,PIX,128809.52
D003,2026-02-05,Lume,Financiamento,99311.91
D003,2026-02-07,Serra,TED,136318.55
D003,2026-02-06,Brisa,Financiamento,131180.53
D003,2026-02-06,Eon,PIX,202368.26
D003,2026-02-06,Serra,Financiamento,148095.47
D003,2026-02-04,Brisa,PIX,139154.25
D003,2026-02-07,Serra,PIX,142376.61
D003,2026-02-03,Lume,Financiamento,105224.54
D003,2026-02-08,Serra,Consórcio,151001.12
D003,2026-02-03,Lume,Financiamento,99807.14
D003,2026-02-02,Atlas,Financiamento,229030.78
D003,2026-02-05,Eon,Financiamento,204318.93
D003,2026-02-03,Brisa,Financiamento,126529.13
D003,2026-02-04,Lume,Cartão Crédito,103308.91
D003,2026-02-05,Brisa,PIX,136917.24
D003,2026-02-08,Serra,Financiamento,156565.01
D003,2026-02-06,Eon,TED,203841.08
D003,2026-02-04,Serra,Cartão Crédito,150213.51
D003,2026-02-07,Serra,Financiamento,151327.66
D003,2026-02-06,Eon,Cartão Crédito,216115.46
D003,2026-02-02,Serra,Financiamento,148139.53
D003,2026-02-03,Eon,PIX,200041.49
D003,2026-02-02,Lume,TED,97958.43
D003,2026-02-06,Lume,PIX,95626.16
D003,2026-02-05,Atlas,Financiamento,231690.10
D003,2026-02-07,Brisa,Consórcio,127675.20
D003,2026-02-06,Brisa,Financiamento,135145.24
D003,2026-02-05,Lume,Financiamento,99839.19
D003,2026-02-03,Lume,Financiamento,97296.64
D003,2026-02-05,Eon,Financiamento,217244.02
D003,2026-02-07,Brisa,PIX,129852.20
D003,2026-02-08,Lume,Financiamento,103360.58
D003,2026-02-04,Serra,PIX,140485.24
D003,2026-02-08,Serra,Cartão Crédito,149390.60
D003,2026-02-06,Lume,Financiamento,92660.54
D003,2026-02-07,Atlas,Financiamento,231900.64
D003,2026-02-02,Lume,Cartão Crédito,91715.54
D003,2026-02-06,Brisa,Financiamento,142636.94
D003,2026-02-03,Atlas,PIX,215738.52
D003,2026-02-08,Lume,PIX,91821.76
D003,2026-02-07,Brisa,Consórcio,139689.89
D003,2026-02-02,Brisa,Financiamento,141115.17
D003,2026-02-04,Serra,PIX,144996.76
D003,2026-02-06,Lume,Financiamento,101867.00
D003,2026-02-08,Eon,PIX,214413.18
D003,2026-02-07,Atlas,Cartão Crédito,222175.03
D003,2026-02-06,Serra,Financiamento,153083.79
D003,2026-02-04,Serra,Financiamento,154242.43
D003,2026-02-02,Serra,PIX,142210.52
D003,2026-02-04,Serra,Cartão Crédito,150680.87
D003,2026-02-08,Brisa,Financiamento,142914.40
D003,2026-02-02,Brisa,Financiamento,135336.83
D003,2026-02-02,Lume,Consórcio,105206.40
D003,2026-02-08,Touro,Financiamento,248508.79
D003,2026-02-03,Atlas,Financiamento,230519.94
D003,2026-02-04,Serra,PIX,141865.34
D003,2026-02-03,Lume,Cartão Crédito,90855.96
D003,2026-02-08,Serra,Financiamento,147954.74
D003,2026-02-05,Lume,TED,94415.97
D003,2026-02-02,Brisa,Financiamento,131986.35
D003,2026-02-02,Brisa,Financiamento,137127.21
D003,2026-02-06,Serra,PIX,157175.62
D003,2026-02-08,Eon,Financiamento,211588.55
D003,2026-02-06,Serra,Financiamento,139488.85
D003,2026-02-04,Atlas,Financiamento,220025.10
D003,2026-02-03,Brisa,Financiamento,128797.34
D003,2026-02-07,Touro,Financiamento,235276.75
D003,2026-02-05,Atlas,Cartão Crédito,234926.23
D003,2026-02-07,Lume,Financiamento,95451.61
D003,2026-02-08,Serra,PIX,138656.37
D003,2026-02-08,Eon,Financiamento,209677.41
D003,2026-02-05,Lume,Financiamento,99496.75
D003,2026-02-03,Touro,Cartão Crédito,232679.04
D003,2026-02-03,Lume,Cartão Crédito,92695.27
D003,2026-02-05,Serra,Financiamento,146828.18
D003,2026-02-07,Lume,PIX,92574.16
D003,2026-02-07,Serra,Cartão Crédito,160160.04
D003,2026-02-06,Brisa,Cartão Crédito,140507.92
D003,2026-02-07,Atlas,Cartão Crédito,223413.86
D003,2026-02-04,Serra,TED,157976.39
D003,2026-02-04,Atlas,Financiamento,230317.35
D003,2026-02-06,Eon,Financiamento,210054.03
D003,2026-02-07,Serra,Financiamento,148456.94
D003,2026-02-08,Atlas,Cartão Crédito,222444.08
D003,2026-02-04,Eon,Financiamento,217449.76
D003,2026-02-08,Serra,Consórcio,155489.84
D003,2026-02-06,Atlas,Cartão Crédito,214383.58
D003,2026-02-03,Serra,PIX,139878.59
D003,2026-02-02,Serra,PIX,150667.79
D003,2026-02-03,Brisa,Consórcio,146252.04
