dealer_id,sale_date,model,payment_type,sale_price_brl
D004,2026-02-07,Lume,Consórcio,100262.53
D004,2026-02-06,Atlas,Financiamento,227404.22
D004,2026-02-04,Serra,Financiamento,148256.44
D004,2026-02-06,Touro,Financiamento,242086.71
D004,2026-02-08,Touro,Consórcio,232600.24
D004,2026-02-06,Touro,Financiamento,214634.85
D004,2026-02-06,Serra,Financiamento,142743.26
D004,2026-02-05,Serra,TED,140114.26
D004,2026-02-04,Brisa,Financiamento,148925.72
D004,2026-02-05,Serra,Financiamento,148839.05
D004,2026-02-06,Serra,Consórcio,149309.49
D004,2026-02-02,Serra,Financiamento,137099.77
D004,2026-02-02,Atlas,Financiamento,239336.15
D004,2026-02-07,Lume,PIX,97577.06
D004,2026-02-07,Atlas,Financiamento,230155.23
D004,2026-02-02,Serra,Financiamento,134198.73
D004,2026-02-06,Eon,PIX,205265.49
D004,2026-02-08,Touro,TED,239203.76
D004,2026-02-03,Lume,Financiamento,104865.43
D004,2026-02-05,Lume,Consórcio,100025.75
D004,2026-02-07,Brisa,Financiamento,144289.94
D004,2026-02-08,Atlas,PIX,221205.77
D004,2026-02-05,Lume,PIX,90920.28
D004,2026-02-05,Atlas,Financiamento,237182.38
D004,2026-02-06,Touro,TED,235719.09
D004,2026-02-06,Serra,PIX,129614.61
D004,2026-02-06,Serra,PIX,155400.20
D004,2026-02-03,Serra,Financiamento,154227.93
D004,2026-02-02,Brisa,Financiamento,137267.24
D004,2026-02-07,Touro,Financiamento,246126.20
D004,2026-02-07,Atlas,Financiamento,246061.17
D004,2026-02-05,Brisa,PIX,133230.21
D004,2026-02-06,Serra,Financiamento,137727.35
D004,2026-02-05,Serra,Cartão Crédito,159513.30
D004,2026-02-07,Serra,Financiamento,156308.09
D004,2026-02-03,Atlas,PIX,211721.58
D004,2026-02-07,Lume,Financiamento,99392.36
D004,2026-02-04,Serra,Financiamento,142404.07
D004,2026-02-05,Serra,Financiamento,150640.67
D004,2026-02-04,Serra,Financiamento,153023.56
D004,2026-02-02,Brisa,Financiamento,126832.61
D004,2026-02-03,Serra,PIX,144501.28
D004,2026-02-04,Brisa,PIX,127992.55
D004,2026-02-04,Serra,PIX,140803.24
D004,2026-02-07,Serra,Financiamento,150914.00
D004,2026-02-02,Eon,Financiamento,209939.91
D004,2026-02-04,Serra,Financiamento,155437.57
D004,2026-02-06,Lume,Cartão Crédito,107285.41
D004,2026-02-04,Lume,Financiamento,96262.27
D004,2026-02-07,Serra,Financiamento,144961.59
D004,2026-02-08,Touro,Financiamento,253730.85
D004,2026-02-06,Lume,Financiamento,89962.91
D004,2026-02-07,Brisa,Financiamento,147287.14
D004,2026-02-08,Touro,Financiamento,233893.24
D004,2026-02-03,Brisa,PIX,132357.35
D004,2026-02-05,Eon,Financiamento,209095.05
D004,2026-02-08,Atlas,Financiamento,236830.00
D004,2026-02-08,Serra,Financiamento,137830.71
D004,2026-02-07,Atlas,TED,221682.46
D004,2026-02-07,Atlas,Financiamento,230191.20
D004,2026-02-05,Lume,PIX,90347.33
D004,2026-02-06,Serra,Financiamento,149143.41
D004,2026-02-08,Atlas,Financiamento,219118.14
D004,2026-02-05,Lume,Financiamento,109298.52
D004,2026-02-07,Lume,Cartão Crédito,99119.22
D004,2026-02-05,Brisa,PIX,136769.72
D004,2026-02-02,Brisa,Financiamento,128159.88
D004,2026-02-07,Lume,Financiamento,105465.52
D004,2026-02-06,Lume,PIX,93256.88
D004,2026-02-03,Touro,Financiamento,224199.90
D004,2026-02-05,Lume,Financiamento,94911.60
D004,2026-02-05,Lume,PIX,91451.04
D004,2026-02-08,Lume,PIX,102753.61
D004,2026-02-04,Lume,PIX,97503.26
D004,2026-02-07,Brisa,Financiamento,138530.94
D004,2026-02-04,Touro,Financiamento,242679.03
D004,2026-02-04,Touro,Financiamento,241678.92
D004,2026-02-03,Brisa,PIX,135700.09
D004,2026-02-05,Serra,Financiamento,148145.75
D004,2026-02-06,Atlas,Financiamento,244233.21
D004,2026-02-05,Brisa,PIX,138055.31
D004,2026-02-08,Brisa,PIX,122827.85
D004,2026-02-06,Serra,Financiamento,153498.04
D004,2026-02-08,Serra,PIX,141725.92
D004,2026-02-03,Brisa,TED,135926.26
D004,2026-02-05,Serra,Financiamento,149293.76
D004,2026-02-06,Lume,Financiamento,104595.47
D004,2026-02-08,Atlas,Financiamento,232036.80
D004,2026-02-05,Lume,Financiamento,103631.23
D004,2026-02-02,Serra,Cartão Crédito,155001.64
D004,2026-02-02,Atlas,TED,225044.75
D004,2026-02-04,Touro,Financiamento,232255.75
D004,2026-02-08,Brisa,PIX,123840.79
D004,2026-02-04,Serra,PIX,158489.75
D004,2026-02-06,Brisa,Financiamento,150072.54
D004,2026-02-02,Lume,Financiamento,100185.80
D004,2026-02-04,Touro,PIX,240714.18
D004,2026-02-07,Brisa,TED,140110.83
D004,2026-02-03,Serra,TED,142297.98
D004,2026-02-07,Touro,Financiamento,230309.19
D004,2026-02-07,Touro,Financiamento,253738.52
D004,2026-02-02,Touro,Financiamento,217000.45
D004,2026-02-07,Atlas,Financiamento,220511.59
D004,2026-02-03,Eon,Financiamento,212135.03
D004,2026-02-04,Brisa,Financiamento,139327.41
D004,2026-02-04,Touro,Financiamento,216993.46
D004,2026-02-08,Serra,PIX,151579.33
D004,2026-02-02,Eon,Financiamento,220282.45
D004,2026-02-07,Brisa,Financiamento,148484.74
D004,2026-02-04,Brisa,Cartão Crédito,147479.18
D004,2026-02-05,Serra,Financiamento,155037.43
D004,2026-02-02,Atlas,PIX,225730.65
D004,2026-02-03,Serra,Financiamento,135326.53
D004,2026-02-02,Eon,Financiamento,207113.80
D004,2026-02-05,Lume,Financiamento,93814.74
D004,2026-02-04,Lume,Financiamento,104351.06
D004,2026-02-07,Lume,Financiamento,89108.45
D004,2026-02-05,Brisa,PIX,133229.82
D004,2026-02-06,Atlas,Financiamento,225326.62
