dealer_id,sale_date,model,payment_type,sale_price_brl
D005,2026-02-04,Atlas,Cartão Crédito,221482.31
D005,2026-02-08,Atlas,Financiamento,228200.84
D005,2026-02-03,Lume,Financiamento,96484.58
D005,2026-02-08,Atlas,PIX,214723.78
D005,2026-02-05,Touro,Financiamento,221591.19
D005,2026-02-03,Serra,Consórcio,164945.57
D005,2026-02-04,Lume,Consórcio,105537.02
D005,2026-02-07,Touro,Financiamento,241494.67
D005,2026-02-06,Lume,Financiamento,92293.92
D005,2026-02-05,Atlas,PIX,212686.76
D005,2026-02-08,Serra,Financiamento,146425.37
D005,2026-02-03,Lume,PIX,98503.54
D005,2026-02-03,Lume,Financiamento,98625.21
D005,2026-02-04,Eon,TED,202048.44
D005,2026-02-02,Lume,Financiamento,96170.71
D005,2026-02-06,Lume,Financiamento,98939.06
D005,2026-02-03,Eon,Financiamento,202236.67
D005,2026-02-08,Eon,PIX,201283.32
D005,2026-02-07,Serra,PIX,131798.13
D005,2026-02-02,Lume,Financiamento,110263.13
D005,2026-02-08,Serra,Financiamento,163255.88
D005,2026-02-06,Brisa,Financiamento,127999.96
D005,2026-02-07,Serra,PIX,149414.60
D005,2026-02-04,Lume,Consórcio,90187.95
D005,2026-02-05,Touro,Financiamento,215019.40
D005,2026-02-03,Brisa,Consórcio,134413.96
D005,2026-02-03,Lume,Financiamento,96895.45
D005,2026-02-05,Touro,Financiamento,222007.27
D005,2026-02-05,Lume,Financiamento,99222.60
D005,2026-02-08,Serra,PIX,139354.31
D005,2026-02-05,Serra,Financiamento,159407.53
D005,2026-02-05,Brisa,PIX,138098.07
D005,2026-02-08,Atlas,PIX,232717.56
D005,2026-02-08,Serra,TED,138377.00
D005,2026-02-03,Brisa,Financiamento,150144.77
D005,2026-02-03,Serra,Consórcio,144787.56
D005,2026-02-08,Lume,TED,91794.94
D005,2026-02-04,Touro,PIX,224308.21
D005,2026-02-06,Lume,Consórcio,102968.17
D005,2026-02-05,Serra,PIX,135146.57
D005,2026-02-06,Brisa,Financiamento,120970.73
D005,2026-02-03,Touro,Financiamento,222505.21
D005,2026-02-08,Brisa,PIX,130329.29
D005,2026-02-08,Lume,Financiamento,99524.53
D005,2026-02-07,Eon,Financiamento,204237.35
D005,2026-02-03,Eon,Financiamento,208538.68
D005,2026-02-05,Atlas,TED,228605.47
D005,2026-02-06,Touro,TED,232503.40
D005,2026-02-04,Atlas,Cartão Crédito,226626.73
D005,2026-02-07,Eon,Financiamento,219568.69
D005,2026-02-02,Lume,Cartão Crédito,102230.62
D005,2026-02-07,Serra,Consórcio,139970.11
D005,2026-02-03,Brisa,Cartão Crédito,136386.43
D005,2026-02-08,Atlas,Financiamento,238509.63
D005,2026-02-04,Brisa,Financiamento,134029.26
D005,2026-02-07,Lume,Financiamento,100525.86
D005,2026-02-05,Serra,Cartão Crédito,151159.69
D005,2026-02-05,Touro,Financiamento,245372.00
D005,2026-02-05,Lume,Financiamento,97562.10
D005,2026-02-02,Lume,PIX,92566.76
D005,2026-02-06,Eon,Consórcio,203954.15
D005,2026-02-05,Atlas,Financiamento,231735.79
D005,2026-02-05,Lume,PIX,93332.72
D005,2026-02-07,Serra,Consórcio,149158.55
D005,2026-02-04,Brisa,PIX,130752.52
D005,2026-02-03,Lume,PIX,87273.65
D005,2026-02-07,Serra,PIX,133367.14
D005,2026-02-04,Eon,Financiamento,200694.60
D005,2026-02-05,Serra,Financiamento,139360.69
D005,2026-02-03,Brisa,Financiamento,134523.46
D005,2026-02-05,Serra,TED,142834.39
D005,2026-02-08,Atlas,PIX,219106.94
D005,2026-02-05,Eon,Financiamento,208558.49
D005,2026-02-08,Serra,Consórcio,150297.13
D005,2026-02-06,Touro,Financiamento,216802.21
D005,2026-02-07,Lume,Financiamento,99360.59
D005,2026-02-06,Lume,Consórcio,97058.25
D005,2026-02-03,Eon,Financiamento,204011.05
D005,2026-02-07,Serra,Consórcio,149712.15
D005,2026-02-04,Brisa,Financiamento,146546.31
D005,2026-02-06,Serra,Cartão Crédito,143804.46
D005,2026-02-08,Lume,Financiamento,99339.23
D005,2026-02-02,Serra,PIX,142468.00
D005,2026-02-02,Touro,Financiamento,223636.71
D005,2026-02-06,Touro,Financiamento,227053.77
D005,2026-02-06,Serra,PIX,142261.55
D005,2026-02-06,Atlas,Financiamento,225131.98
D005,2026-02-07,Brisa,Financiamento,145218.93
