dealer_id,sale_date,model,payment_type,sale_price_brl
D007,2026-02-02,Touro,Financiamento,240975.34
D007,2026-02-06,Brisa,Consórcio,133568.24
D007,2026-02-03,Brisa,Financiamento,125647.32
D007,2026-02-06,Lume,PIX,90233.15
D007,2026-02-08,Serra,Cartão Crédito,146773.89
D007,2026-02-04,Serra,Consórcio,148901.07
D007,2026-02-08,Brisa,Financiamento,139050.00
D007,2026-02-08,Lume,PIX,87808.45
D007,2026-02-03,Serra,TED,135893.67
D007,2026-02-06,Serra,Financiamento,145993.26
D007,2026-02-05,Serra,Financiamento,136530.65
D007,2026-02-05,Brisa,TED,136390.22
D007,2026-02-07,Serra,Consórcio,151254.73
D007,2026-02-07,Lume,Cartão Crédito,93532.98
D007,2026-02-08,Serra,PIX,130882.26
D007,2026-02-07,Touro,Financiamento,210398.15
D007,2026-02-02,Touro,Financiamento,226409.45
D007,2026-02-06,Touro,Financiamento,251025.89
D007,2026-02-04,Brisa,Financiamento,130294.33
D007,2026-02-05,Serra,Financiamento,150131.17
D007,2026-02-07,Atlas,Financiamento,222637.18
D007,2026-02-04,Serra,PIX,136859.16
D007,2026-02-04,Brisa,Financiamento,133361.81
D007,2026-02-04,Serra,Financiamento,146969.08
D007,2026-02-03,Brisa,Financiamento,136439.99
D007,2026-02-05,Lume,PIX,97922.41
D007,2026-02-02,Serra,Financiamento,148229.56
D007,2026-02-03,Lume,Consórcio,93176.55
D007,2026-02-03,Brisa,PIX,139449.16
D007,2026-02-06,Serra,Financiamento,145206.07
D007,2026-02-06,Lume,PIX,92417.71
D007,2026-02-04,Serra,Financiamento,149560.07
D007,2026-02-04,Brisa,Financiamento,145102.05
D007,2026-02-05,Lume,Financiamento,108992.24
D007,2026-02-06,Serra,Financiamento,164540.81
D007,2026-02-04,Serra,Financiamento,151689.46
D007,2026-02-05,Serra,Financiamento,159109.12
D007,2026-02-07,Atlas,Financiamento,231687.13
D007,2026-02-08,Touro,PIX,224210.15
D007,2026-02-07,Brisa,Cartão Crédito,140509.41
D007,2026-02-05,Atlas,Consórcio,234351.64
D007,2026-02-05,Brisa,TED,118968.24
D007,2026-02-07,Lume,Financiamento,103970.87
D007,2026-02-05,Lume,PIX,100574.11
D007,2026-02-02,Atlas,Financiamento,247616.99
D007,2026-02-06,Lume,Financiamento,106155.99
D007,2026-02-03,Serra,Financiamento,140759.68
D007,2026-02-03,Lume,Financiamento,105522.07
D007,2026-02-05,Serra,Financiamento,160082.09
D007,2026-02-03,Eon,Financiamento,203921.82
D007,2026-02-07,Serra,Consórcio,147440.18
D007,2026-02-06,Brisa,Financiamento,137078.72
D007,2026-02-05,Brisa,Financiamento,133862.47
D007,2026-02-06,Atlas,Financiamento,228067.56
D007,2026-02-02,Serra,Financiamento,155861.26
D007,2026-02-08,Brisa,Cartão Crédito,134472.43
D007,2026-02-04,Lume,Consórcio,99735.42
D007,2026-02-07,Serra,Financiamento,148633.03
D007,2026-02-05,Serra,Financiamento,155022.78
D007,2026-02-07,Serra,Cartão Crédito,150773.77
D007,2026-02-05,Lume,PIX,92485.71
D007,2026-02-05,Serra,Cartão Crédito,152078.63
D007,2026-02-02,Lume,Consórcio,88815.32
D007,2026-02-04,Lume,Financiamento,103521.02
D007,2026-02-03,Lume,TED,92777.51
D007,2026-02-05,Eon,Financiamento,217391.74
D007,2026-02-08,Serra,PIX,139854.09
D007,2026-02-06,Serra,TED,147481.71
D007,2026-02-08,Lume,Consórcio,102697.44
D007,2026-02-05,Lume,Consórcio,94387.95
D007,2026-02-02,Serra,Consórcio,147864.42
D007,2026-02-04,Touro,TED,228145.07
D007,2026-02-06,Serra,Cartão Crédito,152326.20
D007,2026-02-02,Touro,Cartão Crédito,218858.84
D007,2026-02-04,Lume,Financiamento,100886.22
D007,2026-02-03,Lume,PIX,99253.34
D007,2026-02-06,Lume,Financiamento,96139.22
D007,2026-02-07,Serra,Consórcio,164411.79
D007,2026-02-02,Brisa,PIX,136422.86
D007,2026-02-05,Lume,Consórcio,102318.05
D007,2026-02-08,Touro,Financiamento,216829.61
D007,2026-02-07,Lume,Consórcio,99546.62
D007,2026-02-04,Serra,Financiamento,150356.89
D007,2026-02-04,Serra,Cartão Crédito,152381.87
D007,2026-02-06,Lume,Financiamento,97585.47
D007,2026-02-06,Brisa,PIX,135814.33
D007,2026-02-03,Touro,Financiamento,230460.26
D007,2026-02-04,Serra,Financiamento,150811.24
D007,2026-02-06,Serra,Financiamento,143067.43
D007,2026-02-05,Serra,PIX,147702.08
D007,2026-02-08,Touro,TED,213184.00
D007,2026-02-03,Lume,Financiamento,103609.45
D007,2026-02-06,Serra,Financiamento,139232.93
D007,2026-02-07,Lume,Consórcio,95505.51
D007,2026-02-08,Lume,Financiamento,91898.81
D007,2026-02-05,Atlas,Financiamento,219556.85
D007,2026-02-06,Lume,PIX,90378.54
D007,2026-02-06,Lume,Financiamento,101088.12
D007,2026-02-06,Serra,Financiamento,160649.14
D007,2026-02-06,Brisa,PIX,136006.35
D007,2026-02-05,Serra,Financiamento,138443.06
D007,2026-02-06,Brisa,Financiamento,128638.07
D007,2026-02-05,Touro,Consórcio,231654.46
D007,2026-02-08,Brisa,Financiamento,135777.78
D007,2026-02-06,Lume,Financiamento,97750.27
D007,2026-02-07,Lume,Consórcio,99267.33
D007,2026-02-07,Lume,Cartão Crédito,90648.39
D007,2026-02-04,Lume,Consórcio,96299.47
D007,2026-02-08,Atlas,Financiamento,226014.83
D007,2026-02-06,Serra,Financiamento,139963.64
D007,2026-02-03,Lume,Financiamento,101522.10
D007,2026-02-08,Brisa,Financiamento,140899.86
D007,2026-02-02,Serra,Financiamento,140482.54
D007,2026-02-07,Serra,Financiamento,138968.42
D007,2026-02-02,Serra,Financiamento,141605.60
D007,2026-02-08,Brisa,Consórcio,134696.14
D007,2026-02-02,Touro,Cartão Crédito,235832.90
D007,2026-02-02,Serra,Financiamento,137795.66
D007,2026-02-04,Serra,PIX,145935.40
D007,2026-02-02,Serra,Consórcio,160786.18
D007,2026-02-06,Serra,TED,140354.26
D007,2026-02-03,Brisa,Financiamento,142378.98
D007,2026-02-04,Lume,Financiamento,104706.54
D007,2026-02-03,Serra,TED,140873.25
D007,2026-02-06,Serra,Financiamento,146849.06
D007,2026-02-08,Brisa,Financiamento,141616.09
D007,2026-02-05,Brisa,Financiamento,134531.19
D007,2026-02-02,Atlas,TED,214095.96
D007,2026-02-08,Brisa,PIX,119518.85
D007,2026-02-03,Serra,PIX,151572.51
D007,2026-02-07,Lume,Consórcio,104814.29
D007,2026-02-08,Brisa,Financiamento,145185.75
D007,2026-02-05,Lume,TED,97631.15
D007,2026-02-06,Serra,Financiamento,148650.90
D007,2026-02-07,Serra,PIX,143256.87
D007,2026-02-02,Lume,PIX,90292.29
D007,2026-02-04,Lume,Financiamento,90052.67
D007,2026-02-04,Serra,Consórcio,149197.09
D007,2026-02-04,Touro,Financiamento,228456.11
D007,2026-02-07,Lume,Cartão Crédito,103707.03
D007,2026-02-03,Lume,Consórcio,99297.60
D007,2026-02-02,Lume,Financiamento,97819.15
D007,2026-02-03,Lume,Financiamento,98479.73
D007,2026-02-06,Lume,PIX,93016.04
D007,2026-02-08,Eon,Consórcio,223172.76
D007,2026-02-04,Touro,Financiamento,222018.88
D007,2026-02-07,Serra,Financiamento,145381.20
D007,2026-02-03,Brisa,Cartão Crédito,138782.56
D007,2026-02-03,Lume,PIX,94021.07
D007,2026-02-08,Lume,Financiamento,103889.79
