dealer_id,sale_date,model,payment_type,sale_price_brl
D008,2026-02-05,Eon,Consórcio,200306.50
D008,2026-02-03,Brisa,Financiamento,151140.96
D008,2026-02-04,Atlas,TED,212647.35
D008,2026-02-05,Eon,Financiamento,212083.04
D008,2026-02-07,Touro,Financiamento,247312.52
D008,2026-02-03,Lume,Consórcio,100431.08
D008,2026-02-06,Lume,TED,98540.21
D008,2026-02-07,Atlas,TED,227621.86
D008,2026-02-07,Brisa,Financiamento,140077.78
D008,2026-02-03,Lume,Financiamento,106041.71
D008,2026-02-05,Lume,Financiamento,96518.31
D008,2026-02-03,Touro,Consórcio,247161.83
D008,2026-02-04,Touro,Consórcio,230715.14
D008,2026-02-06,Serra,Financiamento,145193.26
D008,2026-02-07,Serra,Financiamento,150799.26
D008,2026-02-02,Serra,Financiamento,159425.54
D008,2026-02-03,Serra,Financiamento,153745.87
D008,2026-02-06,Atlas,Consórcio,225202.57
D008,2026-02-04,Atlas,Financiamento,225952.86
D008,2026-02-02,Serra,Consórcio,147916.40
D008,2026-02-02,Serra,PIX,144687.58
D008,2026-02-07,Serra,Financiamento,148916.96
D008,2026-02-05,Serra,Financiamento,143453.93
D008,2026-02-04,Brisa,Financiamento,143885.59
D008,2026-02-07,Lume,PIX,95668.69
D008,2026-02-06,Serra,Financiamento,162025.48
D008,2026-02-03,Brisa,Financiamento,140766.20
D008,2026-02-06,Touro,Financiamento,227899.79
D008,2026-02-08,Serra,Financiamento,144185.18
D008,2026-02-05,Brisa,TED,136657.75
D008,2026-02-02,Serra,Cartão Crédito,145040.75
D008,2026-02-06,Atlas,Financiamento,232854.01
D008,2026-02-07,Serra,Financiamento,138556.20
D008,2026-02-03,Touro,Financiamento,235458.40
D008,2026-02-03,Lume,PIX,100083.30
D008,2026-02-08,Lume,Financiamento,101385.60
D008,2026-02-02,Lume,Financiamento,94252.50
D008,2026-02-06,Serra,Financiamento,150345.69
D008,2026-02-05,Serra,Financiamento,135381.61
D008,2026-02-04,Brisa,Financiamento,128638.97
D008,2026-02-06,Lume,Financiamento,92382.30
D008,2026-02-04,Serra,Financiamento,152513.11
D008,2026-02-02,Serra,Consórcio,152467.56
D008,2026-02-07,Serra,Consórcio,165171.50
D008,2026-02-06,Touro,Financiamento,235913.38
D008,2026-02-03,Serra,Financiamento,153982.76
D008,2026-02-08,Lume,Financiamento,100128.59
D008,2026-02-02,Lume,Financiamento,102540.82
D008,2026-02-03,Atlas,Consórcio,230520.37
D008,2026-02-06,Atlas,Cartão Crédito,228351.39
D008,2026-02-04,Atlas,Financiamento,232044.62
D008,2026-02-02,Lume,Financiamento,97944.19
D008,2026-02-02,Atlas,Cartão Crédito,230025.70
D008,2026-02-05,Touro,Financiamento,239245.67
D008,2026-02-07,Serra,Financiamento,159009.12
D008,2026-02-08,Brisa,Financiamento,146031.91
D008,2026-02-07,Serra,Financiamento,135180.09
D008,2026-02-04,Atlas,Consórcio,223582.75
D008,2026-02-04,Touro,Financiamento,231590.21
D008,2026-02-03,Serra,Financiamento,148909.40
D008,2026-02-08,Brisa,Financiamento,143228.87
D008,2026-02-02,Serra,TED,138428.92
D008,2026-02-03,Serra,TED,145288.85
D008,2026-02-03,Touro,Financiamento,216314.38
D008,2026-02-06,Lume,Financiamento,97757.43
D008,2026-02-04,Atlas,TED,223165.82
D008,2026-02-06,Serra,PIX,147964.19
D008,2026-02-07,Touro,TED,227044.92
D008,2026-02-08,Serra,PIX,146922.87
D008,2026-02-06,Atlas,Financiamento,216399.64
D008,2026-02-07,Touro,Financiamento,227953.18
D008,2026-02-04,Atlas,Financiamento,229611.07
D008,2026-02-02,Lume,Financiamento,100812.88
D008,2026-02-04,Serra,Cartão Crédito,157177.44
D008,2026-02-06,Lume,PIX,97698.88
D008,2026-02-05,Lume,PIX,104367.69
D008,2026-02-05,Lume,Financiamento,94560.62
D008,2026-02-06,Serra,Financiamento,149359.68
D008,2026-02-04,Atlas,Financiamento,232745.09
D008,2026-02-08,Atlas,Financiamento,219188.35
D008,2026-02-07,Serra,Financiamento,151654.05
D008,2026-02-05,Serra,Consórcio,139199.83
D008,2026-02-04,Touro,Financiamento,239077.58
D008,2026-02-08,Touro,Financiamento,239049.03
D008,2026-02-02,Brisa,Financiamento,130214.84
D008,2026-02-06,Serra,Financiamento,146446.17
D008,2026-02-02,Brisa,Financiamento,143555.26
D008,2026-02-05,Serra,TED,141386.48
D008,2026-02-05,Brisa,Financiamento,143748.78
D008,2026-02-08,Eon,Financiamento,206501.95
D008,2026-02-03,Serra,PIX,152945.93
D008,2026-02-05,Lume,Financiamento,98879.24
D008,2026-02-05,Lume,Consórcio,93870.73
D008,2026-02-08,Serra,Financiamento,145303.09
D008,2026-02-02,Lume,Financiamento,103644.23
D008,2026-02-07,Atlas,Financiamento,233330.99
D008,2026-02-04,Brisa,Financiamento,131318.90
D008,2026-02-04,Brisa,Financiamento,138883.96
D008,2026-02-05,Serra,Consórcio,163645.72
D008,2026-02-06,Eon,Financiamento,205123.77
D008,2026-02-04,Touro,Consórcio,211177.68
D008,2026-02-04,Lume,Cartão Crédito,90329.78
D008,2026-02-06,Brisa,Cartão Crédito,135478.34
D008,2026-02-06,Lume,TED,89972.25
D008,2026-02-08,Touro,Financiamento,219744.70
D008,2026-02-07,Lume,PIX,99353.02
D008,2026-02-05,Serra,Consórcio,143318.37
D008,2026-02-08,Brisa,Financiamento,143050.15
D008,2026-02-05,Serra,Financiamento,146150.82
D008,2026-02-05,Brisa,TED,133527.94
D008,2026-02-08,Serra,Financiamento,142352.93
D008,2026-02-06,Brisa,Consórcio,138113.19
D008,2026-02-02,Serra,Consórcio,137845.52
D008,2026-02-06,Eon,Consórcio,215922.89
D008,2026-02-02,Serra,Financiamento,143531.28
D008,2026-02-07,Eon,PIX,200237.98
D008,2026-02-04,Serra,Consórcio,153048.17
D008,2026-02-05,Serra,Financiamento,154573.63
D008,2026-02-08,Brisa,TED,134978.49
D008,2026-02-04,Serra,Financiamento,138452.42
D008,2026-02-03,Serra,Financiamento,143981.98
