dealer_id,sale_date,model,payment_type,sale_price_brl
D009,2026-02-02,Lume,PIX,96492.58
D009,2026-02-02,Touro,PIX,222827.45
D009,2026-02-07,Serra,PIX,141224.05
D009,2026-02-02,Serra,Consórcio,149669.20
D009,2026-02-08,Touro,Financiamento,222324.04
D009,2026-02-05,Touro,Financiamento,234102.52
D009,2026-02-04,Serra,Cartão Crédito,133780.95
D009,2026-02-07,Lume,Financiamento,109421.87
D009,2026-02-05,Touro,Cartão Crédito,223493.34
D009,2026-02-05,Touro,Cartão Crédito,233689.17
D009,2026-02-07,Serra,PIX,143504.84
D009,2026-02-03,Lume,PIX,107048.82
D009,2026-02-05,Lume,Financiamento,96897.25
D009,2026-02-08,Touro,Consórcio,216541.02
D009,2026-02-04,Touro,PIX,209330.49
D009,2026-02-07,Atlas,Consórcio,237145.99
D009,2026-02-07,Atlas,Consórcio,222794.68
D009,2026-02-07,Lume,Consórcio,101943.78
D009,2026-02-07,Lume,PIX,89089.87
D009,2026-02-08,Lume,Financiamento,106118.63
D009,2026-02-08,Lume,Financiamento,104769.18
D009,2026-02-08,Brisa,Cartão Crédito,141982.12
D009,2026-02-05,Serra,Consórcio,153028.91
D009,2026-02-08,Eon,TED,196255.25
D009,2026-02-02,Lume,PIX,93257.51
D009,2026-02-06,Brisa,TED,136950.45
D009,2026-02-08,Touro,Financiamento,248163.73
D009,2026-02-05,Lume,PIX,100709.01
D009,2026-02-06,Touro,Financiamento,241764.97
D009,2026-02-07,Lume,PIX,92841.15
D009,2026-02-03,Touro,Financiamento,220250.28
D009,2026-02-05,Atlas,PIX,229560.85
D009,2026-02-05,Lume,TED,89657.96
D009,2026-02-02,Atlas,Financiamento,242525.45
D009,2026-02-05,Touro,Financiamento,231768.58
D009,2026-02-08,Lume,Financiamento,105999.09
D009,2026-02-03,Touro,PIX,232430.90
D009,2026-02-05,Brisa,Financiamento,146778.44
D009,2026-02-02,Touro,Consórcio,222596.86
D009,2026-02-05,Serra,PIX,138662.01
D009,2026-02-06,Serra,PIX,148196.80
D009,2026-02-08,Lume,TED,92548.35
D009,2026-02-03,Serra,TED,142998.44
D009,2026-02-05,Lume,Consórcio,99395.99
D009,2026-02-03,Serra,PIX,142891.66
D009,2026-02-04,Lume,Financiamento,93449.10
D009,2026-02-08,Serra,Financiamento,156485.86
D009,2026-02-04,Atlas,Financiamento,231423.92
D009,2026-02-03,Atlas,Financiamento,226366.72
D009,2026-02-06,Serra,Consórcio,149011.99
D009,2026-02-04,Lume,Financiamento,106122.47
D009,2026-02-05,Atlas,Financiamento,235027.43
D009,2026-02-06,Touro,Financiamento,213605.71
D009,2026-02-07,Touro,PIX,226633.20
D009,2026-02-08,Touro,PIX,231479.81
D009,2026-02-08,Lume,Financiamento,108770.49
D009,2026-02-04,Brisa,Consórcio,124424.58
D009,2026-02-03,Touro,Financiamento,246975.24
D009,2026-02-05,Serra,PIX,150073.70
D009,2026-02-08,Serra,Financiamento,149670.75
D009,2026-02-02,Serra,Financiamento,151224.14
D009,2026-02-08,Brisa,Consórcio,137181.42
D009,2026-02-08,Touro,Financiamento,226693.80
D009,2026-02-06,Touro,Financiamento,252033.00
D009,2026-02-04,Serra,PIX,139639.75
D009,2026-02-07,Lume,Financiamento,93527.50
D009,2026-02-03,Atlas,Financiamento,231923.63
D009,2026-02-08,Touro,TED,236380.07
D009,2026-02-04,Touro,Financiamento,237464.22
D009,2026-02-04,Serra,Financiamento,152212.55
D009,2026-02-07,Atlas,Financiamento,238865.42
D009,2026-02-04,Touro,Consórcio,240139.13
D009,2026-02-02,Brisa,Financiamento,129618.22
D009,2026-02-03,Brisa,Consórcio,131010.77
D009,2026-02-07,Lume,PIX,88859.33
D009,2026-02-02,Brisa,Consórcio,140919.14
D009,2026-02-04,Serra,Financiamento,137569.10
D009,2026-02-02,Touro,TED,239242.17
D009,2026-02-05,Atlas,Financiamento,235524.83
D009,2026-02-07,Touro,Financiamento,235679.80
D009,2026-02-03,Touro,Cartão Crédito,244015.75
D009,2026-02-04,Eon,Financiamento,201714.49
D009,2026-02-05,Touro,Financiamento,224259.92
D009,2026-02-03,Eon,Financiamento,212416.73
D009,2026-02-03,Brisa,PIX,145198.18
D009,2026-02-05,Brisa,PIX,137466.86
D009,2026-02-04,Eon,PIX,195233.11
D009,2026-02-06,Serra,Consórcio,147720.37
D009,2026-02-03,Touro,Consórcio,220071.73
D009,2026-02-06,Eon,Financiamento,214335.55
D009,2026-02-04,Eon,Financiamento,222264.35
D009,2026-02-08,Atlas,Consórcio,227641.84
D009,2026-02-07,Serra,PIX,150174.52
D009,2026-02-02,Serra,Financiamento,150957.00
D009,2026-02-02,Atlas,TED,217295.67
D009,2026-02-08,Brisa,PIX,133583.31
D009,2026-02-07,Touro,Consórcio,232540.85
D009,2026-02-06,Atlas,Consórcio,240053.56
D009,2026-02-03,Touro,Financiamento,236843.54
D009,2026-02-04,Serra,Consórcio,160650.70
D009,2026-02-07,Touro,Financiamento,233574.01
D009,2026-02-03,Touro,Consórcio,229472.91
D009,2026-02-03,Touro,Financiamento,225619.40
D009,2026-02-08,Atlas,Financiamento,238728.40
D009,2026-02-05,Lume,Financiamento,106437.47
D009,2026-02-06,Serra,Financiamento,161471.82
D009,2026-02-08,Serra,Financiamento,135446.52
D009,2026-02-08,Atlas,Financiamento,237022.41
D009,2026-02-08,Lume,TED,100807.23
D009,2026-02-05,Lume,Financiamento,98004.92
D009,2026-02-07,Atlas,PIX,225418.29
D009,2026-02-02,Atlas,Financiamento,230600.66
D009,2026-02-04,Atlas,Financiamento,237120.46
D009,2026-02-06,Touro,PIX,217880.06
D009,2026-02-03,Serra,Financiamento,143158.69
D009,2026-02-04,Serra,Financiamento,164428.10
D009,2026-02-04,Atlas,Consórcio,227988.79
D009,2026-02-03,Touro,Financiamento,226483.25
D009,2026-02-04,Touro,Financiamento,227963.06
D009,2026-02-07,Serra,Financiamento,148805.21
D009,2026-02-03,Serra,Cartão Crédito,148629.32
D009,2026-02-03,Lume,PIX,93604.60
D009,2026-02-06,Atlas,Financiamento,230370.07
D009,2026-02-06,Touro,Financiamento,229115.98
D009,2026-02-02,Touro,Consórcio,236488.07
D009,2026-02-04,Lume,Financiamento,108851.27
D009,2026-02-04,Brisa,Cartão Crédito,143405.63
D009,2026-02-03,Touro,PIX,223121.08
D009,2026-02-03,Eon,Financiamento,218681.72
D009,2026-02-02,Touro,Financiamento,221321.52
D009,2026-02-08,Atlas,Financiamento,225996.15
D009,2026-02-02,Lume,Financiamento,101648.77
D009,2026-02-06,Brisa,Consórcio,132822.38
D009,2026-02-02,Lume,Financiamento,96269.88
D009,2026-02-04,Brisa,Financiamento,143796.49
D009,2026-02-06,Lume,Financiamento,102853.85
D009,2026-02-07,Brisa,TED,140566.67
D009,2026-02-07,Lume,PIX,94180.33
D009,2026-02-04,Touro,TED,235868.72
D009,2026-02-08,Serra,Cartão Crédito,143648.69
D009,2026-02-02,Touro,Cartão Crédito,231760.12
D009,2026-02-05,Touro,Financiamento,241069.40
D009,2026-02-04,Serra,Financiamento,147251.91
D009,2026-02-07,Eon,Financiamento,213313.18
D009,2026-02-08,Serra,Financiamento,156762.59
D009,2026-02-07,Serra,PIX,144901.64
D009,2026-02-05,Serra,Financiamento,141390.18
D009,2026-02-05,Touro,Consórcio,238194.35
D009,2026-02-03,Lume,Consórcio,97087.19
D009,2026-02-05,Lume,Financiamento,103300.67
