dealer_id,sale_date,model,payment_type,sale_price_brl
D010,2026-02-07,Touro,Financiamento,239605.68
D010,2026-02-05,Serra,Financiamento,157967.23
D010,2026-02-06,Brisa,Financiamento,131099.46
D010,2026-02-05,Brisa,Consórcio,125087.26
D010,2026-02-08,Lume,Financiamento,108584.38
D010,2026-02-07,Serra,Cartão Crédito,148543.95
D010,2026-02-07,Touro,Financiamento,246883.48
D010,2026-02-07,Serra,Financiamento,148287.04
D010,2026-02-06,Atlas,Consórcio,219908.53
D010,2026-02-02,Serra,Cartão Crédito,145909.60
D010,2026-02-02,Brisa,Financiamento,141182.46
D010,2026-02-03,Serra,PIX,147504.91
D010,2026-02-02,Atlas,Financiamento,230731.73
D010,2026-02-05,Serra,Financiamento,150218.25
D010,2026-02-05,Atlas,Financiamento,230629.84
D010,2026-02-04,Serra,PIX,128996.85
D010,2026-02-04,Touro,Financiamento,241659.97
D010,2026-02-05,Lume,Cartão Crédito,97314.15
D010,2026-02-07,Brisa,TED,132800.64
D010,2026-02-07,Lume,Cartão Crédito,98366.73
D010,2026-02-04,Lume,Financiamento,98490.32
D010,2026-02-05,Brisa,Financiamento,136848.38
D010,2026-02-05,Atlas,Financiamento,222194.58
D010,2026-02-07,Touro,Financiamento,232714.42
D010,2026-02-04,Brisa,TED,146590.05
D010,2026-02-07,Touro,Financiamento,245487.82
D010,2026-02-04,Brisa,TED,131081.18
D010,2026-02-06,Touro,PIX,242076.22
D010,2026-02-04,Brisa,Financiamento,139077.65
D010,2026-02-04,Touro,Financiamento,226874.48
D010,2026-02-05,Touro,Cartão Crédito,232980.29
D010,2026-02-06,Serra,Financiamento,145399.23
D010,2026-02-07,Serra,PIX,141856.35
D010,2026-02-08,Touro,Financiamento,250669.60
D010,2026-02-06,Touro,Consórcio,248511.80
D010,2026-02-02,Atlas,Financiamento,226770.64
D010,2026-02-07,Touro,Financiamento,229459.21
D010,2026-02-02,Atlas,Financiamento,228298.24
D010,2026-02-03,Brisa,Financiamento,138772.16
D010,2026-02-03,Lume,Financiamento,97129.86
D010,2026-02-05,Serra,Consórcio,144519.04
D010,2026-02-02,Brisa,Financiamento,142758.24
D010,2026-02-08,Lume,Financiamento,105167.33
D010,2026-02-02,Serra,TED,128900.32
D010,2026-02-04,Touro,Financiamento,229293.46
D010,2026-02-08,Lume,PIX,95615.74
D010,2026-02-06,Touro,Financiamento,243008.53
D010,2026-02-05,Touro,TED,209528.33
D010,2026-02-04,Touro,Financiamento,241989.16
D010,2026-02-05,Brisa,PIX,129164.91
D010,2026-02-05,Brisa,Financiamento,138724.12
D010,2026-02-02,Serra,Financiamento,150037.02
D010,2026-02-08,Touro,Financiamento,238050.90
D010,2026-02-02,Atlas,Consórcio,217323.88
D010,2026-02-08,Touro,Financiamento,246357.33
D010,2026-02-06,Serra,Financiamento,150796.60
D010,2026-02-07,Lume,Financiamento,105193.47
D010,2026-02-05,Touro,Consórcio,225605.22
D010,2026-02-08,Brisa,PIX,136793.75
D010,2026-02-07,Serra,Financiamento,150331.29
D010,2026-02-04,Touro,Financiamento,251534.71
D010,2026-02-05,Touro,Financiamento,229223.97
D010,2026-02-02,Touro,Financiamento,236768.95
D010,2026-02-06,Touro,Financiamento,228659.86
D010,2026-02-08,Lume,Financiamento,99837.27
D010,2026-02-03,Lume,PIX,92590.84
D010,2026-02-02,Lume,Financiamento,106497.42
D010,2026-02-08,Lume,Financiamento,96634.71
D010,2026-02-05,Serra,Financiamento,143566.40
D010,2026-02-08,Serra,TED,134778.57
D010,2026-02-05,Touro,Consórcio,250694.63
D010,2026-02-02,Touro,Financiamento,234557.85
D010,2026-02-05,Brisa,Financiamento,132131.20
D010,2026-02-05,Atlas,PIX,235767.58
D010,2026-02-06,Lume,Financiamento,97012.05
D010,2026-02-05,Touro,Financiamento,229858.18
D010,2026-02-08,Touro,Cartão Crédito,240937.40
D010,2026-02-05,Touro,Financiamento,259570.78
D010,2026-02-07,Brisa,PIX,142028.13
D010,2026-02-04,Brisa,Financiamento,133088.40
D010,2026-02-07,Serra,PIX,136908.65
D010,2026-02-07,Serra,PIX,141989.02
D010,2026-02-06,Brisa,PIX,123954.59
D010,2026-02-03,Serra,Cartão Crédito,148773.63
D010,2026-02-08,Atlas,Financiamento,222237.52
D010,2026-02-06,Serra,Consórcio,154976.03
D010,2026-02-06,Lume,PIX,90932.92
D010,2026-02-04,Touro,PIX,220382.83
D010,2026-02-03,Brisa,Cartão Crédito,149068.10
D010,2026-02-08,Brisa,Cartão Crédito,133381.51
D010,2026-02-04,Atlas,Financiamento,227993.77
D010,2026-02-03,Serra,Consórcio,157003.10
D010,2026-02-08,Touro,Financiamento,236639.94
D010,2026-02-02,Brisa,PIX,126653.53
