dealer_id,sale_date,model,payment_type,sale_price_brl
D011,2026-02-02,Touro,Financiamento,224868.05
D011,2026-02-06,Lume,Cartão Crédito,97069.34
D011,2026-02-02,Touro,Financiamento,244948.51
D011,2026-02-08,Serra,Financiamento,150776.36
D011,2026-02-05,Touro,Consórcio,237867.51
D011,2026-02-08,Serra,Financiamento,158899.87
D011,2026-02-02,Serra,TED,137420.50
D011,2026-02-04,Lume,Cartão Crédito,97748.88
D011,2026-02-07,Touro,TED,217608.93
D011,2026-02-02,Touro,Financiamento,230472.02
D011,2026-02-03,Touro,Financiamento,232320.24
D011,2026-02-04,Brisa,Financiamento,134892.41
D011,2026-02-03,Atlas,Financiamento,238878.78
D011,2026-02-05,Serra,Financiamento,146578.54
D011,2026-02-08,Atlas,Consórcio,226890.64
D011,2026-02-07,Touro,Consórcio,222447.49
D011,2026-02-08,Lume,PIX,97699.42
D011,2026-02-07,Lume,Financiamento,106228.86
D011,2026-02-08,Atlas,Financiamento,227802.89
D011,2026-02-07,Atlas,Financiamento,235799.79
D011,2026-02-04,Lume,Cartão Crédito,97047.44
D011,2026-02-07,Serra,Financiamento,157653.81
D011,2026-02-06,Serra,Financiamento,156640.47
D011,2026-02-05,Touro,Consórcio,220411.71
D011,2026-02-05,Atlas,Financiamento,218492.80
D011,2026-02-04,Lume,Financiamento,97727.68
D011,2026-02-07,Lume,PIX,98729.46
D011,2026-02-03,Touro,Financiamento,233167.89
D011,2026-02-07,Lume,Financiamento,101595.92
D011,2026-02-02,Atlas,Consórcio,228837.68
D011,2026-02-02,Serra,Consórcio,152779.23
D011,2026-02-06,Atlas,Consórcio,229691.32
D011,2026-02-03,Brisa,Cartão Crédito,140839.18
D011,2026-02-07,Lume,Financiamento,104217.14
D011,2026-02-06,Serra,Financiamento,149277.96
D011,2026-02-07,Serra,Financiamento,140084.83
D011,2026-02-03,Serra,Financiamento,146871.55
D011,2026-02-06,Serra,Financiamento,157370.04
D011,2026-02-07,Serra,Financiamento,160289.30
D011,2026-02-05,Touro,TED,211056.59
D011,2026-02-03,Eon,Financiamento,209449.18
D011,2026-02-05,Serra,Financiamento,161712.18
D011,2026-02-02,Serra,Financiamento,140310.03
D011,2026-02-02,Serra,PIX,140856.61
D011,2026-02-04,Serra,Financiamento,140916.83
D011,2026-02-02,Touro,Financiamento,232102.02
D011,2026-02-07,Serra,PIX,137302.05
D011,2026-02-05,Serra,Cartão Crédito,148070.30
D011,2026-02-05,Serra,Financiamento,149742.32
D011,2026-02-06,Serra,Financiamento,154785.25
D011,2026-02-07,Brisa,Financiamento,141526.16
D011,2026-02-03,Touro,Financiamento,216589.50
D011,2026-02-05,Atlas,Financiamento,235371.25
D011,2026-02-06,Serra,Financiamento,144905.35
D011,2026-02-07,Serra,TED,144711.98
D011,2026-02-02,Touro,Financiamento,242359.34
D011,2026-02-02,Lume,Consórcio,96811.55
D011,2026-02-08,Lume,Financiamento,103994.62
D011,2026-02-02,Touro,Financiamento,236973.71
D011,2026-02-08,Touro,Financiamento,229789.82
D011,2026-02-06,Brisa,Cartão Crédito,130797.88
D011,2026-02-03,Brisa,TED,140363.46
D011,2026-02-05,Atlas,PIX,235756.92
D011,2026-02-07,Lume,Financiamento,97552.67
D011,2026-02-04,Brisa,Consórcio,149505.88
D011,2026-02-03,Atlas,Financiamento,227815.34
D011,2026-02-05,Touro,Financiamento,229739.98
D011,2026-02-02,Serra,Financiamento,141746.19
D011,2026-02-04,Serra,Financiamento,138514.66
D011,2026-02-07,Touro,Financiamento,236741.19
D011,2026-02-07,Serra,Financiamento,141208.06
D011,2026-02-03,Touro,Financiamento,229327.41
D011,2026-02-05,Lume,Financiamento,107057.12
D011,2026-02-07,Eon,PIX,211288.68
D011,2026-02-06,Brisa,Financiamento,151097.79
D011,2026-02-03,Serra,Financiamento,136120.85
D011,2026-02-06,Lume,PIX,95751.84
D011,2026-02-07,Serra,Cartão Crédito,146049.93
D011,2026-02-08,Brisa,Financiamento,136789.80
D011,2026-02-08,Atlas,Financiamento,234604.52
D011,2026-02-03,Serra,Financiamento,134286.23
D011,2026-02-07,Touro,Financiamento,217219.55
D011,2026-02-03,Serra,Consórcio,151736.00
D011,2026-02-06,Lume,Consórcio,101158.28
D011,2026-02-08,Touro,Financiamento,218568.45
D011,2026-02-05,Touro,Financiamento,222810.95
D011,2026-02-07,Eon,TED,204049.52
D011,2026-02-02,Lume,PIX,90203.11
D011,2026-02-04,Lume,Financiamento,99702.09
D011,2026-02-03,Lume,Financiamento,98667.99
D011,2026-02-07,Atlas,Cartão Crédito,219555.64
D011,2026-02-05,Lume,Cartão Crédito,99786.71
D011,2026-02-03,Serra,Financiamento,152514.81
D011,2026-02-02,Serra,Financiamento,138453.89
D011,2026-02-08,Lume,Financiamento,104592.07
D011,2026-02-07,Lume,Consórcio,101207.31
D011,2026-02-07,Serra,Financiamento,159621.99
D011,2026-02-07,Lume,Consórcio,96678.47
D011,2026-02-04,Lume,Financiamento,99340.20
D011,2026-02-02,Touro,Cartão Crédito,227367.27
D011,2026-02-05,Brisa,Financiamento,133219.82
D011,2026-02-08,Lume,Financiamento,108708.29
D011,2026-02-02,Touro,Cartão Crédito,232332.03
D011,2026-02-07,Lume,Financiamento,103355.68
D011,2026-02-07,Touro,Financiamento,228161.22
D011,2026-02-04,Touro,Financiamento,238209.46
D011,2026-02-02,Touro,Financiamento,241619.12
D011,2026-02-06,Lume,Consórcio,106661.67
D011,2026-02-08,Atlas,Financiamento,218041.92
D011,2026-02-02,Brisa,Financiamento,127248.99
D011,2026-02-06,Lume,Financiamento,97820.98
D011,2026-02-05,Lume,Financiamento,103459.10
D011,2026-02-05,Serra,Financiamento,154111.22
D011,2026-02-07,Touro,Financiamento,235679.18
D011,2026-02-03,Lume,PIX,97443.73
D011,2026-02-08,Lume,Financiamento,102138.35
D011,2026-02-05,Serra,Financiamento,144859.22
D011,2026-02-02,Lume,Cartão Crédito,95852.80
D011,2026-02-08,Brisa,Financiamento,140837.25
D011,2026-02-05,Brisa,Financiamento,138687.09
D011,2026-02-06,Serra,PIX,135409.17
D011,2026-02-06,Touro,Financiamento,228770.40
D011,2026-02-03,Touro,Financiamento,237816.02
D011,2026-02-05,Serra,Financiamento,147991.24
D011,2026-02-06,Brisa,Financiamento,127679.87
D011,2026-02-02,Serra,Consórcio,150814.19
D011,2026-02-05,Serra,TED,143535.58
D011,2026-02-04,Touro,Financiamento,229516.26
D011,2026-02-02,Brisa,PIX,124152.08
D011,2026-02-04,Serra,Financiamento,160335.99
D011,2026-02-02,Lume,Cartão Crédito,95601.08
D011,2026-02-03,Brisa,Financiamento,134435.35
D011,2026-02-08,Brisa,PIX,142052.97
D011,2026-02-07,Touro,PIX,243685.20
D011,2026-02-03,Brisa,Financiamento,131524.91
D011,2026-02-08,Eon,Consórcio,222010.23
D011,2026-02-03,Touro,TED,216113.28
D011,2026-02-07,Brisa,Financiamento,152054.91
D011,2026-02-02,Touro,Financiamento,248541.42
D011,2026-02-03,Brisa,PIX,134671.50
D011,2026-02-08,Serra,Financiamento,147865.67
D011,2026-02-08,Serra,Financiamento,138419.00
D011,2026-02-08,Touro,Financiamento,231708.24
D011,2026-02-03,Brisa,Financiamento,140347.57
D011,2026-02-05,Serra,Financiamento,150196.65
D011,2026-02-07,Lume,TED,89357.98
D011,2026-02-05,Lume,Financiamento,99348.22
D011,2026-02-08,Brisa,Financiamento,132835.22
D011,2026-02-05,Serra,TED,131506.36
D011,2026-02-04,Serra,Financiamento,145963.37
