dealer_id,sale_date,model,payment_type,sale_price_brl
D012,2026-02-04,Brisa,PIX,133595.56
D012,2026-02-02,Brisa,PIX,139018.60
D012,2026-02-07,Lume,Cartão Crédito,96310.09
D012,2026-02-04,Lume,TED,92365.77
D012,2026-02-04,Atlas,Financiamento,239807.68
D012,2026-02-06,Eon,Consórcio,212940.40
D012,2026-02-04,Lume,Cartão Crédito,101748.38
D012,2026-02-05,Touro,Financiamento,247472.74
D012,2026-02-07,Serra,Financiamento,142253.74
D012,2026-02-03,Atlas,Cartão Crédito,222536.85
D012,2026-02-06,Atlas,Financiamento,226974.42
D012,2026-02-04,Touro,Financiamento,252185.18
D012,2026-02-05,Serra,Financiamento,146671.11
D012,2026-02-03,Brisa,Financiamento,137271.25
D012,2026-02-04,Brisa,Financiamento,141977.44
D012,2026-02-08,Atlas,Financiamento,230990.55
D012,2026-02-02,Touro,TED,244478.46
D012,2026-02-07,Touro,Consórcio,238128.37
D012,2026-02-05,Lume,Financiamento,101126.11
D012,2026-02-02,Brisa,Consórcio,141647.39
D012,2026-02-03,Lume,Financiamento,90341.51
D012,2026-02-05,Lume,TED,102399.13
D012,2026-02-03,Lume,Financiamento,94075.58
D012,2026-02-06,Lume,Financiamento,106414.65
D012,2026-02-02,Lume,Financiamento,103117.66
D012,2026-02-08,Lume,Financiamento,95801.33
D012,2026-02-07,Serra,Financiamento,160034.00
D012,2026-02-06,Atlas,Financiamento,220418.29
D012,2026-02-05,Lume,Financiamento,103629.06
D012,2026-02-06,Touro,Financiamento,234835.73
D012,2026-02-04,Serra,Consórcio,144522.94
D012,2026-02-08,Brisa,Financiamento,146095.91
D012,2026-02-03,Lume,Financiamento,99131.25
D012,2026-02-07,Lume,Financiamento,96402.63
D012,2026-02-03,Touro,TED,237128.69
D012,2026-02-07,Touro,Financiamento,244221.44
D012,2026-02-05,Serra,Financiamento,141488.96
D012,2026-02-08,Lume,Financiamento,97485.35
D012,2026-02-04,Lume,PIX,86317.51
D012,2026-02-07,Atlas,Financiamento,231106.59
D012,2026-02-05,Lume,Cartão Crédito,102607.14
D012,2026-02-07,Atlas,Financiamento,220583.85
D012,2026-02-03,Atlas,Financiamento,231926.37
D012,2026-02-03,Lume,PIX,90612.60
D012,2026-02-06,Atlas,TED,230534.81
D012,2026-02-04,Lume,Financiamento,97425.91
D012,2026-02-07,Serra,Financiamento,136833.44
D012,2026-02-06,Serra,Financiamento,159515.67
D012,2026-02-04,Serra,Financiamento,138329.39
D012,2026-02-03,Touro,Financiamento,231408.75
D012,2026-02-05,Lume,PIX,98588.47
D012,2026-02-02,Lume,Consórcio,102151.20
D012,2026-02-03,Atlas,PIX,216614.28
D012,2026-02-04,Serra,TED,137112.10
D012,2026-02-05,Lume,TED,95671.89
D012,2026-02-05,Serra,PIX,140080.22
D012,2026-02-07,Touro,Financiamento,235829.29
D012,2026-02-03,Serra,Financiamento,146441.38
D012,2026-02-07,Serra,Consórcio,159319.51
D012,2026-02-02,Serra,Consórcio,152111.94
D012,2026-02-08,Atlas,Financiamento,228793.82
D012,2026-02-04,Eon,Financiamento,205356.83
D012,2026-02-06,Serra,Financiamento,154244.84
D012,2026-02-07,Eon,Cartão Crédito,206903.43
D012,2026-02-04,Lume,Financiamento,97704.81
D012,2026-02-03,Brisa,Cartão Crédito,131370.32
D012,2026-02-02,Lume,Financiamento,109275.26
D012,2026-02-04,Lume,Cartão Crédito,104261.64
D012,2026-02-08,Eon,Financiamento,211182.86
D012,2026-02-08,Atlas,Financiamento,229117.17
D012,2026-02-07,Eon,Financiamento,216356.82
D012,2026-02-08,Serra,Financiamento,151413.83
D012,2026-02-08,Serra,Consórcio,135058.74
D012,2026-02-03,Lume,TED,94134.21
D012,2026-02-03,Lume,PIX,99375.22
D012,2026-02-07,Lume,Financiamento,101533.49
D012,2026-02-06,Serra,Financiamento,143272.14
D012,2026-02-02,Touro,Financiamento,232261.87
D012,2026-02-05,Serra,Financiamento,152698.08
D012,2026-02-08,Serra,Financiamento,150666.35
D012,2026-02-04,Serra,PIX,149914.62
D012,2026-02-05,Brisa,Cartão Crédito,137865.55
D012,2026-02-04,Lume,Financiamento,95656.13
D012,2026-02-02,Touro,Financiamento,232790.18
D012,2026-02-05,Touro,Consórcio,231954.16
D012,2026-02-07,Eon,PIX,202845.20
D012,2026-02-02,Serra,Financiamento,143350.91
D012,2026-02-04,Touro,Financiamento,229173.67
D012,2026-02-07,Atlas,Financiamento,228656.05
D012,2026-02-07,Brisa,Financiamento,148471.15
D012,2026-02-07,Atlas,Financiamento,234875.57
D012,2026-02-05,Touro,TED,217528.24
D012,2026-02-07,Touro,PIX,231036.61
D012,2026-02-05,Serra,Financiamento,158838.49
D012,2026-02-03,Touro,TED,221063.72
D012,2026-02-06,Eon,Financiamento,210489.20
D012,2026-02-05,Atlas,Consórcio,241265.18
D012,2026-02-06,Touro,Financiamento,221507.55
D012,2026-02-07,Serra,Cartão Crédito,160040.20
D012,2026-02-02,Lume,Financiamento,98827.03
D012,2026-02-04,Atlas,TED,216143.62
D012,2026-02-03,Serra,Financiamento,139958.65
D012,2026-02-03,Lume,PIX,89618.15
D012,2026-02-04,Eon,Financiamento,206255.22
D012,2026-02-02,Touro,TED,221801.51
D012,2026-02-04,Lume,PIX,92085.04
D012,2026-02-08,Lume,PIX,101695.47
D012,2026-02-06,Touro,PIX,213310.79
D012,2026-02-05,Serra,Consórcio,152012.82
D012,2026-02-05,Atlas,Financiamento,225960.66
D012,2026-02-04,Eon,Financiamento,218855.57
D012,2026-02-05,Serra,Consórcio,155975.01
D012,2026-02-02,Serra,Financiamento,151439.80
D012,2026-02-03,Lume,PIX,92980.56
D012,2026-02-08,Touro,Financiamento,236740.10
D012,2026-02-05,Serra,Financiamento,132893.73
D012,2026-02-08,Brisa,Financiamento,143163.58
D012,2026-02-07,Brisa,Financiamento,140514.91
D012,2026-02-06,Touro,Financiamento,246613.27
D012,2026-02-05,Eon,Financiamento,216895.40
D012,2026-02-04,Serra,Financiamento,155416.75
D012,2026-02-08,Touro,Financiamento,220376.97
D012,2026-02-04,Touro,Consórcio,256119.77
D012,2026-02-05,Touro,Financiamento,238682.03
D012,2026-02-03,Atlas,Financiamento,222396.60
D012,2026-02-07,Lume,Consórcio,97760.02
D012,2026-02-04,Lume,Cartão Crédito,96568.39
D012,2026-02-02,Atlas,Consórcio,232481.84
D012,2026-02-08,Atlas,Financiamento,236956.10
D012,2026-02-06,Lume,Financiamento,104902.44
D012,2026-02-07,Serra,Financiamento,148348.59
D012,2026-02-08,Lume,Cartão Crédito,97335.23
D012,2026-02-04,Atlas,Consórcio,238158.60
D012,2026-02-04,Lume,Cartão Crédito,96069.66
D012,2026-02-04,Lume,Financiamento,102451.69
D012,2026-02-04,Touro,Financiamento,254609.01
D012,2026-02-07,Serra,TED,141171.56
D012,2026-02-05,Brisa,Financiamento,136115.38
D012,2026-02-07,Serra,Financiamento,140598.10
D012,2026-02-08,Touro,PIX,220861.16
D012,2026-02-07,Lume,Consórcio,102186.41
D012,2026-02-08,Lume,Cartão Crédito,108654.17
D012,2026-02-08,Brisa,Financiamento,131406.99
D012,2026-02-08,Lume,Financiamento,105114.26
D012,2026-02-08,Serra,Financiamento,162496.75
D012,2026-02-08,Lume,PIX,94631.86
D012,2026-02-05,Eon,Financiamento,208753.05
D012,2026-02-04,Brisa,Consórcio,141449.26
D012,2026-02-02,Lume,Financiamento,99155.55
D012,2026-02-08,Touro,Financiamento,238574.47
